Game_Id,Developer_ID,Publisher_ID,Genre_Id,Name,User_Score,Genre
1,71,4,4,Diablo,7.5,Action
2,114,41,3,Tomb Raider,8.8,Role-Playing
3,84,42,11,Theme Hospital,8.6,Strategy
4,476,143,2,Half-Life,9.4,Action
5,116,109,8,Riven: The Sequel to Myst,8.5,Strategy
6,107,41,3,Tomb Raider II,8.8,Adventure
7,84,42,11,Sim Theme Park,8.7,Action
8,249,37,10,Who wants to be a millionaire,7.2,Misc
9,286,42,10,The Sims: Livin Large,7.6,Misc
10,72,143,4,Diablo II: Lord of Destruction,8.7,Strategy
11,286,42,7,The Sims: Hot Date,7,Strategy
12,286,42,7,The Sims: House Party,8.1,Simulation
13,96,13,11,RollerCoaster Tycoon 2,7.8,Strategy
14,286,42,7,The Sims: Vacation,7.2,Simulation
15,286,42,7,The Sims: Unleashed,9.1,Simulation
16,71,4,11,Warcraft III: The Frozen Throne,7.7,Strategy
17,286,42,7,The Sims: Superstar,9,Simulation
18,286,42,7,The Sims: Makin' Magic,7.4,Simulation
19,476,143,2,Half-Life 2,7.7,Sports
20,71,4,4,World of Warcraft,7.9,Role-Playing
21,286,42,7,The Sims 2: Nightlife,7.4,Simulation
22,408,114,1,Worldwide Soccer Manager 2008,7.6,Shooter
23,230,4,2,Call of Duty 4: Modern Warfare,7.5,Shooter
24,71,4,4,World of Warcraft: The Burning Crusade,7.7,Role-Playing
25,408,116,7,Worldwide Soccer Manager 2009,7.5,Role-Playing
26,286,42,11,Spore,8.4,Role-Playing
27,71,4,4,World of Warcraft: Wrath of the Lich King,9.5,Strategy
28,109,116,11,Empire: Total War,8.1,Shooter
29,434,42,7,The Sims 3,8.8,Simulation
30,324,16,4,Fallout: New Vegas,7.9,Shooter
31,408,116,1,Football Manager 2011,7.3,Role-Playing
32,177,130,11,Sid Meier's Civilization V,8.6,Sports
33,434,42,7,The Sims 3: Late Night Expansion Pack,7.5,Strategy
34,71,4,4,World of Warcraft: Cataclysm,8.3,Role-Playing
35,71,4,11,StarCraft II: Wings of Liberty,8.6,Strategy
36,74,139,11,Anno 2070,8.6,Action
37,408,116,1,Football Manager 2012,8.6,Role-Playing
38,231,4,2,Call of Duty: Modern Warfare 3,7,Action
39,145,42,2,Battlefield 3,8.9,Strategy
40,277,42,4,Star Wars: The Old Republic,7.7,Sports
41,54,16,4,The Elder Scrolls V: Skyrim,9.1,Shooter
42,457,139,3,Assassin's Creed III,9.5,Shooter
43,459,139,3,ZombiU,7.7,Shooter
44,408,116,1,Football Manager 2013,7,Simulation
45,445,4,2,Call of Duty: Black Ops II,7.4,Shooter
46,71,4,4,World of Warcraft: Mists of Pandaria,9.3,Sports
47,29,96,3,Guild Wars 2,8.4,Role-Playing
48,310,97,10,Nintendo Land,8.8,Action
49,71,4,4,Diablo III,9.3,Role-Playing
50,310,97,9,New Super Mario Bros. U,8,Platform
51,230,4,2,Call of Duty: Ghosts,8.3,Action
52,479,4,9,Skylanders SWAP Force,9.4,Simulation
53,457,139,10,Just Dance 2014,7.1,Shooter
54,459,139,9,Rayman Legends,9.1,Strategy
55,151,42,1,Madden NFL 25,8.3,Action
56,453,97,9,LEGO City Undercover,7.7,Role-Playing
