Sales ID,Game_Id,Countryid,Platform,Year_of_Release,Region,Country,Total_Sales,Unit_Price,Revenue,Development_Cost
1,2,1,PC,1996,Europe,Austria,350,60,21000,16380
2,1,1,PC,1996,Europe,Austria,7900,60,474000,412380
3,6,1,PC,1997,Europe,Austria,6250,60,375000,285000
4,3,1,PC,1997,Europe,Austria,500,60,30000,28800
5,5,1,PC,1997,Europe,Austria,4100,60,246000,147600
6,4,1,PC,1997,Europe,Austria,10,60,600,486
7,7,1,PC,1998,Europe,Austria,200,60,12000,10800
8,8,1,PC,1999,Europe,Austria,50,60,3000,1950
9,9,1,PC,2000,Europe,Austria,5900,60,354000,261960
10,10,1,PC,2001,Europe,Austria,100,60,6000,5880
11,11,1,PC,2001,Europe,Austria,10,60,600,480
12,12,1,PC,2001,Europe,Austria,4150,60,249000,154380
13,13,1,PC,2002,Europe,Austria,250,60,15000,12300
14,14,1,PC,2002,Europe,Austria,6050,60,363000,221430
15,15,1,PC,2002,Europe,Austria,7800,60,468000,430560
16,16,1,PC,2003,Europe,Austria,4350,60,261000,180090
17,17,1,PC,2003,Europe,Austria,40,60,2400,1776
18,18,1,PC,2003,Europe,Austria,4000,60,240000,156000
19,19,1,PC,2004,Europe,Austria,100,60,6000,4140
20,20,1,PC,2004,Europe,Austria,31050,60,1863000,1732590
21,21,1,PC,2005,Europe,Austria,250,60,15000,11700
22,22,1,PC,2007,Europe,Austria,5600,60,336000,319200
23,23,1,PC,2007,Europe,Austria,5600,60,336000,248640
24,24,1,PC,2007,Europe,Austria,7600,60,456000,383040
25,25,1,PC,2008,Europe,Austria,5700,60,342000,321480
26,26,1,PC,2008,Europe,Austria,5300,60,318000,305280
27,27,1,PC,2008,Europe,Austria,650,60,39000,27690
28,28,1,PC,2009,Europe,Austria,4850,60,291000,267720
29,29,1,PC,2009,Europe,Austria,32100,60,1926000,1483020
30,30,1,PC,2010,Europe,Austria,2250,60,135000,89100
31,31,1,PC,2010,Europe,Austria,5050,60,303000,275730
32,32,1,PC,2010,Europe,Austria,2600,60,156000,123240
33,33,1,PC,2010,Europe,Austria,4350,60,261000,229680
34,34,1,PC,2010,Europe,Austria,1600,60,96000,67200
35,35,1,PC,2010,Europe,Austria,8400,60,504000,332640
